編號, 發生星期, GPS經度, GPS緯度, 天候代碼, 天候名稱, 光線代碼, 光線名稱, 路面狀況-路面狀態代碼, 路面狀況名稱, 當事者性別代碼, 當事者性別名稱, 當事者年齡, 車種代碼, 車種名稱, 保護裝備代碼, 保護裝備名稱, 飲酒情形代碼, 飲酒情形名稱, 事故類別名稱
10607BFY00A0001,三,120.93026,24.779822,8,晴,1,日間自然光線,5,乾燥,3,無或物(動物、堆置物),-1,  , , , ,  , ,A2
10607BFY00A0003,六,120.952837,24.806926,8,晴,1,日間自然光線,5,乾燥,1,男,44,C0,機車,1,戴安全帽或繫安全帶(使用幼童安全椅),2,經檢測無酒精反應,A2
10607BFY00A0004,四,120.971381,24.812002,8,晴,1,日間自然光線,5,乾燥,2,女,50,H0,人,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0001,六,120.978549,24.806379,8,晴,1,日間自然光線,5,乾燥,1,男,53,B0,小客車,3,不明,4,經呼氣檢測0.16~0.25mg/L或血液檢測0.031%~0.05%,A2
10607BFY00B0002,六,121.008697,24.785196,7,陰,1,日間自然光線,5,乾燥,2,女,86,H0,人,4,其他(行人、慢車駕駛人),10,"非駕駛人,未檢測",A2
10607BFY00B0003,六,120.990318,24.782059,8,晴,1,日間自然光線,5,乾燥,1,男,42,B0,小客車,1,戴安全帽或繫安全帶(使用幼童安全椅),2,經檢測無酒精反應,A2
10607BFY00B0004,六,120.999212,24.795062,8,晴,1,日間自然光線,5,乾燥,2,女,71,C0,機車,1,戴安全帽或繫安全帶(使用幼童安全椅),2,經檢測無酒精反應,A2
10607BFY00B0005,六,120.994095,24.804997,8,晴,1,日間自然光線,5,乾燥,1,男,54,B0,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0006,日,120.976725,24.812573,8,晴,1,日間自然光線,5,乾燥,1,男,48,B0,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0007,日,121.026681,24.777452,8,晴,1,日間自然光線,5,乾燥,2,女,65,B0,小客車,3,不明,2,經檢測無酒精反應,A2
