編號, 發生星期, GPS經度, GPS緯度, 天候代碼, 天候名稱, 光線代碼, 光線名稱, 路面狀況-路面狀態代碼, 路面狀況名稱, 當事者性別代碼, 當事者性別名稱, 當事者年齡, 車種代碼, 車種名稱, 保護裝備代碼, 保護裝備名稱, 飲酒情形代碼, 飲酒情形名稱, 事故類別名稱
10607BFY00A0001,三,120.93026,24.779822,8,晴,1,日間自然光線,5,乾燥,3,無或物(動物、堆置物),-1,  , , , ,  , ,A1
10607BFY00A0003,六,120.952837,24.806926,8,晴,1,日間自然光線,5,乾燥,1,男,44,30,機車,1,戴安全帽或繫安全帶(使用幼童安全椅),2,經檢測無酒精反應,A1
10607BFY00A0004,四,120.971381,24.812002,8,晴,1,日間自然光線,5,乾燥,2,女,50,80,人,3,不明,2,經檢測無酒精反應,A1
10607BFY00B0001,六,120.978549,24.806379,8,晴,1,日間自然光線,5,乾燥,1,男,53,20,小客車,3,不明,4,經呼氣檢測0.16~0.25mg/L或血液檢測0.031%~0.05%,A2
10607BFY00B0002,六,121.008697,24.785196,7,陰,1,日間自然光線,5,乾燥,2,女,86,80,人,4,其他(行人、慢車駕駛人),10,"非駕駛人,未檢測",A2
10607BFY00B0003,六,120.990318,24.782059,8,晴,1,日間自然光線,5,乾燥,1,男,42,20,小客車,1,戴安全帽或繫安全帶(使用幼童安全椅),2,經檢測無酒精反應,A2
10607BFY00B0004,六,120.999212,24.795062,8,晴,1,日間自然光線,5,乾燥,2,女,71,30,機車,1,戴安全帽或繫安全帶(使用幼童安全椅),2,經檢測無酒精反應,A2
10607BFY00B0005,六,120.994095,24.804997,8,晴,1,日間自然光線,5,乾燥,1,男,54,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0006,日,120.976725,24.812573,8,晴,1,日間自然光線,5,乾燥,1,男,48,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0007,日,121.026681,24.777452,8,晴,1,日間自然光線,5,乾燥,2,女,65,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0008,日,120.96723,24.806535,8,晴,1,日間自然光線,5,乾燥,2,女,26,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0009,六,120.955803,24.810382,8,晴,1,日間自然光線,5,乾燥,1,男,31,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0010,六,120.957493,24.813868,8,晴,1,日間自然光線,5,乾燥,2,女,19,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0011,日,120.937161,24.805751,8,晴,1,日間自然光線,5,乾燥,3,無或物(動物、堆置物),-1,  , , , ,  , ,A2
10607BFY00B0012,日,120.972891,24.795083,8,晴,1,日間自然光線,5,乾燥,1,男,24,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0013,日,121.021077,24.781878,8,晴,1,日間自然光線,5,乾燥,1,男,64,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0014,日,120.96858,24.795185,8,晴,1,日間自然光線,5,乾燥,1,男,25,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0016,日,120.976102,24.801578,8,晴,1,日間自然光線,5,乾燥,1,男,63,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0017,一,121.00337,24.788921,8,晴,1,日間自然光線,5,乾燥,1,男,60,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0018,一,120.97018,24.806545,8,晴,1,日間自然光線,5,乾燥,1,男,28,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0019,一,120.960159,24.809145,8,晴,1,日間自然光線,5,乾燥,1,男,26,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0020,一,120.952555,24.832491,8,晴,1,日間自然光線,5,乾燥,1,男,32,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0021,一,120.975119,24.796423,8,晴,1,日間自然光線,5,乾燥,2,女,48,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0022,日,121.017096,24.783539,6,雨,1,日間自然光線,4,濕潤,2,女,17,80,人,3,不明,10,"非駕駛人,未檢測",A2
10607BFY00B0023,一,120.964095,24.796389,8,晴,1,日間自然光線,5,乾燥,3,無或物(動物、堆置物),-1,  , , , ,  , ,A2
10607BFY00B0024,一,120.962294,24.806272,8,晴,1,日間自然光線,5,乾燥,1,男,27,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0025,一,120.940515,24.835739,8,晴,3,夜間(或隧道、地下道、涵洞)有照明,5,乾燥,1,男,54,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0026,六,120.955168,24.803443,8,晴,1,日間自然光線,5,乾燥,1,男,29,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0027,一,120.935987,24.844492,8,晴,1,日間自然光線,5,乾燥,1,男,29,30,機車,1,戴安全帽或繫安全帶(使用幼童安全椅),2,經檢測無酒精反應,A2
10607BFY00B0028,日,120.980829,24.812645,8,晴,3,夜間(或隧道、地下道、涵洞)有照明,5,乾燥,2,女,76,80,人,4,其他(行人、慢車駕駛人),10,"非駕駛人,未檢測",A2
10607BFY00B0029,二,120.985984,24.813934,8,晴,1,日間自然光線,5,乾燥,1,男,34,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0030,六,120.985345,24.817041,8,晴,1,日間自然光線,5,乾燥,1,男,27,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0031,六,120.964104,24.821963,6,雨,1,日間自然光線,4,濕潤,1,男,39,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0032,二,121.013514,24.799903,8,晴,1,日間自然光線,5,乾燥,1,男,56,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0033,二,120.994092,24.798583,8,晴,1,日間自然光線,5,乾燥,1,男,29,30,機車,1,戴安全帽或繫安全帶(使用幼童安全椅),2,經檢測無酒精反應,A2
10607BFY00B0034,二,120.978739,24.823448,8,晴,1,日間自然光線,5,乾燥,1,男,50,20,小客車,1,戴安全帽或繫安全帶(使用幼童安全椅),2,經檢測無酒精反應,A2
10607BFY00B0035,一,120.991715,24.803689,8,晴,1,日間自然光線,5,乾燥,1,男,31,20,小客車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0036,二,120.960487,24.80304,8,晴,1,日間自然光線,5,乾燥,1,男,37,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0037,二,120.959556,24.806867,1,暴雨,1,日間自然光線,4,濕潤,2,女,25,30,機車,3,不明,2,經檢測無酒精反應,A2
10607BFY00B0038,二,120.93026,24.779822,8,晴,1,日間自然光線,5,乾燥,2,女,48,20,小客車,3,不明,2,經檢測無酒精反應,A2
